Id,Quantidade_Avaliações,Média_Avaliações,Avaliação_Máxima,Nome_Filme,Generos,Tags
293,133,4.02,5.0,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,assassin Jean Reno hit men Action assassin assassination assassins awkward romance corruption crime disturbing drama French friendship Gary Oldman great acting Guns hit men hitman humorous imdb top 250 Jean Reno Lolita theme loneliness love story Luc Besson Natalie Portman organized crime police police corruption quirky sniper tense touching unique
10,132,3.5,5.0,GoldenEye (1995),Action|Adventure|Thriller,
4886,132,3.87,5.0,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,
7361,131,4.16,5.0,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,alternate reality memory thought-provoking jim carrey memory cult film imagination Jim Carrey love surreal arthouse artistic atmospheric beautiful bittersweet colourful comedy dreamlike emotional feel-good happpiness humane insightful intelligent lovely melancholy mind-bending philosophy quirky quirky romantic romantic surreal surrealism thought-provoking
1240,131,3.9,5.0,"Terminator, The (1984)",Action|Sci-Fi|Thriller,Action artificial intelligence robots Sci-Fi special effects tense time travel robots
1089,131,4.2,5.0,Reservoir Dogs (1992),Crime|Mystery|Thriller,ensemble cast nonlinear Quentin Tarantino stylized heist violence humorous neo-noir Quentin Tarantino religion Tarantino
6874,131,3.96,5.0,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,martial arts revenge
1221,129,4.26,5.0,"Godfather: Part II, The (1974)",Crime|Drama,Al Pacino Mafia Mafia
2329,129,4.22,5.0,American History X (1998),Crime|Drama,thought-provoking racism edward norton emotional politics
34,128,3.65,5.0,Babe (1995),Children|Drama,Animal movie pigs villain nonexistent or not needed for good story
1200,126,3.96,5.0,Aliens (1986),Action|Adventure|Horror|Sci-Fi,action aliens horror sci-fi space space craft SPACE TRAVEL suspense space
1213,126,4.25,5.0,Goodfellas (1990),Crime|Drama,Mafia
1682,125,3.81,5.0,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,TV
8961,125,3.84,5.0,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,Disney superhero animation Samuel L. Jackson
541,124,4.1,5.0,Blade Runner (1982),Action|Sci-Fi|Thriller,sci-fi robots androids artificial intelligence atmospheric cyberpunk future mindfuck Philip K. Dick atmospheric dreamlike existentialism philosophical
4995,123,4.0,5.0,"Beautiful Mind, A (2001)",Drama|Romance,mathematics
736,123,3.32,5.0,Twister (1996),Action|Adventure|Romance|Thriller,Disaster
5349,122,3.54,5.0,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller,superhero
1097,122,3.77,5.0,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,aliens
733,121,3.64,5.0,"Rock, The (1996)",Action|Adventure|Thriller,Alcatraz Michael Bay terrorism
2683,121,3.2,5.0,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,
2716,120,3.78,5.0,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,ghosts
1206,120,4.0,5.0,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,brainwashing
5445,120,3.64,5.0,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller,future
4973,120,4.18,5.0,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,whimsical
1073,119,3.87,5.0,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,
4963,119,3.84,5.0,Ocean's Eleven (2001),Crime|Thriller,heist
1527,116,3.75,5.0,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,
33794,116,3.86,5.0,Batman Begins (2005),Action|Crime|IMAX,
5989,115,3.92,5.0,Catch Me If You Can (2002),Crime|Drama,crime cheating intelligent Leonardo DiCaprio lies smart Tom Hanks twists & turns
587,115,3.43,5.0,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,overrated
1968,113,3.78,5.0,"Breakfast Club, The (1985)",Comedy|Drama,
5418,112,3.82,5.0,"Bourne Identity, The (2002)",Action|Mystery|Thriller,
185,112,3.04,5.0,"Net, The (1995)",Action|Crime|Thriller,computers
3147,111,4.15,5.0,"Green Mile, The (1999)",Crime|Drama,Stephen King
3996,110,3.84,5.0,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance,china martial arts
7438,110,3.87,5.0,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,revenge
349,110,3.6,5.0,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,Tom Clancy
2,110,3.43,5.0,Jumanji (1995),Adventure|Children|Fantasy,fantasy magic board game Robin Williams game
924,109,3.89,5.0,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,Hal space aliens apes Arthur C. Clarke artificial intelligence atmospheric cinematography classic computer confusing ending cult film Dull future futuristic imdb top 250 masterpiece meditative music mystery Oscar (Best Effects - Visual Effects) overrated philosophical relaxing revolutionary robots sci-fi setting:space/space ship slow slow paced soundtrack space space travel spacecraft Stanley Kubrick superb soundtrack surreal technology tedious visual visually appealing
253,109,3.46,5.0,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,
4878,109,3.98,5.0,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,atmospheric cult film dreamlike hallucinatory psychological surreal time travel jake gyllenhaal time travel dreamlike hallucinatory mental illness psychology social commentary teen thought-provoking atmospheric cerebral dreamlike enigmatic hallucinatory mental illness mindfuck philosophy psychological quirky surreal thought-provoking weird
2918,109,3.84,5.0,Ferris Bueller's Day Off (1986),Comedy,High School
1258,109,4.08,5.0,"Shining, The (1980)",Horror,atmospheric disturbing Horror jack nicholson masterpiece psychological Stanley Kubrick suspense Stephen King
329,108,3.39,5.0,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,Enterprise
2115,108,3.64,5.0,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy,archaeology
48516,107,4.25,5.0,"Departed, The (2006)",Crime|Drama|Thriller,way too long Leonardo DiCaprio suspense twist ending undercover cop atmospheric Jack Nicholson Leonardo DiCaprio Martin Scorsese suspense
1208,107,4.22,5.0,Apocalypse Now (1979),Action|Drama|War,Vietnam
4896,107,3.76,5.0,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,Everything you want is here alan rickman harry potter humorous Magic Magic Wizards
539,106,3.47,5.0,Sleepless in Seattle (1993),Comedy|Drama|Romance,Empire State Building
1732,106,3.92,5.0,"Big Lebowski, The (1998)",Comedy|Crime,Coen Brothers black comedy bowling classic coen brothers comedy crime Cult classic cult film dark comedy deadpan drugs funny great dialogue great soundtrack Highly quotable imdb top 250 Jeff Bridges John Goodman Julianne Moore kidnapping marijuana Nudity (Full Frontal) off-beat comedy Philip Seymour Hoffman quirky ransom rug sarcasm satirical Steve Buscemi violence
68954,105,4.0,5.0,Up (2009),Adventure|Animation|Children|Drama,adventure Bechdel Test:Fail cartoon children computer animation divorce dogs dreams Pixar bittersweet emotional heartbreaking touching
1923,105,3.68,5.0,There's Something About Mary (1998),Comedy|Romance,Ben Stiller Ben Stiller crude humor goofy
111,104,4.11,5.0,Taxi Driver (1976),Crime|Drama|Thriller,assassination
60069,104,4.06,5.0,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,last man on earth love story Post apocalyptic social commentary
223,104,3.86,5.0,Clerks (1994),Comedy,cynical hilarious independent film quirky witty generation X
39,104,3.29,5.0,Clueless (1995),Comedy|Romance,chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen
161,103,3.64,5.0,Crimson Tide (1995),Drama|Thriller|War,submarine
2706,103,3.38,5.0,American Pie (1999),Comedy|Romance,best comedy Chris Klein dumb Jason Biggs not funny pizza beer Seann William Scott teen
357,103,3.52,5.0,Four Weddings and a Funeral (1994),Comedy|Romance,wedding
778,102,4.04,5.0,Trainspotting (1996),Comedy|Crime|Drama,based on a book dark comedy narrated drug abuse
5816,102,3.6,5.0,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy,Magic Wizards
6,102,3.95,5.0,Heat (1995),Action|Crime|Thriller,
1222,102,4.1,5.0,Full Metal Jacket (1987),Drama|War,Vietnam anti-war
434,101,3.03,5.0,Cliffhanger (1993),Action|Adventure|Thriller,
292,101,3.43,5.0,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,
454,101,3.53,5.0,"Firm, The (1993)",Drama|Thriller,John Grisham
912,100,4.24,5.0,Casablanca (1942),Drama|Romance,start of a beautiful friendship
1517,100,3.54,5.0,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy,
44191,100,3.88,5.0,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX,
4022,100,3.7,5.0,Cast Away (2000),Drama,
104,99,3.44,5.0,Happy Gilmore (1996),Comedy,test tag golf Adam Sandler
2997,99,3.95,5.0,Being John Malkovich (1999),Comedy|Drama|Fantasy,
339,98,3.47,5.0,While You Were Sleeping (1995),Comedy|Romance,coma
750,97,4.27,5.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,dark comedy Atomic bomb black comedy dark comedy satire purity of essence Slim Pickens black comedy dark comedy Quirky
2987,97,3.57,5.0,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,live action/animation
1617,97,4.06,5.0,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,Police
72998,97,3.6,5.0,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,bad science futuristic graphic design James Cameron military poor dialogue sci-fi superficial plot unoriginal white guilt beautiful scenery graphic design music politics romance thought-provoking too long visually stunning
3114,97,3.86,5.0,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,animation Disney funny original Pixar sequel Tom Hanks Pixar
3949,96,3.92,5.0,Requiem for a Dream (2000),Drama,drug abuse depressing psychology
1784,96,3.7,5.0,As Good as It Gets (1997),Comedy|Drama|Romance,
1961,96,3.81,5.0,Rain Man (1988),Drama,autism
6365,96,3.35,5.0,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,
4027,94,3.81,5.0,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime,bluegrass
59315,94,3.82,5.0,Iron Man (2008),Action|Adventure|Sci-Fi,
2502,94,4.09,5.0,Office Space (1999),Comedy|Crime,stapler workplace
551,93,3.55,5.0,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,Christmas Halloween
4011,93,4.16,5.0,Snatch (2000),Comedy|Crime|Thriller,
8368,93,3.91,5.0,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX,Magic Wizards
919,92,3.88,5.0,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,Dorothy Toto
2355,92,3.52,5.0,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,Pixar
1917,92,3.05,5.0,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,space
5378,92,3.16,5.0,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX,
2396,92,3.78,5.0,Shakespeare in Love (1998),Comedy|Drama|Romance,England
288,92,3.23,5.0,Natural Born Killers (1994),Action|Crime|Thriller,brutality controversial dark comedy psychedelic satire stylized
8360,92,3.58,5.0,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance,ogres
1387,91,4.01,5.0,Jaws (1975),Action|Horror,Shark
1259,91,4.01,5.0,Stand by Me (1986),Adventure|Drama,Stephen King
2797,91,3.72,5.0,Big (1988),Comedy|Drama|Fantasy|Romance,children
2174,91,3.47,5.0,Beetlejuice (1988),Comedy|Fantasy,
1356,91,3.88,5.0,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller,Borg
3948,91,3.42,5.0,Meet the Parents (2000),Comedy,comedy Robert De Niro
1610,90,3.87,5.0,"Hunt for Red October, The (1990)",Action|Adventure|Thriller,Tom Clancy
48780,90,4.01,5.0,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,ummarti2006 atmospheric enigmatic
21,89,3.49,5.0,Get Shorty (1995),Comedy|Crime|Thriller,Hollywood
1080,89,3.93,5.0,Monty Python's Life of Brian (1979),Comedy,Bible parody religion
2916,88,3.65,5.0,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,
68157,88,4.14,5.0,Inglourious Basterds (2009),Action|Drama|War,black comedy Brad Pitt Christoph Waltz Quentin Tarantino satire
2324,88,4.15,5.0,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War,Holocaust bittersweet emotional Heartwarming poignant sentimental tear jerker tearjerking
2012,88,3.37,5.0,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,
5618,87,4.16,5.0,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy,anime
2011,87,3.51,5.0,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,time travel
2617,87,3.12,5.0,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller,
2791,87,3.86,5.0,Airplane! (1980),Comedy,aviation spoof
141,86,3.49,5.0,"Birdcage, The (1996)",Comedy,
1246,86,3.96,5.0,Dead Poets Society (1989),Drama,highschool High School
1391,86,3.09,5.0,Mars Attacks! (1996),Action|Comedy|Sci-Fi,
1653,86,3.95,5.0,Gattaca (1997),Drama|Sci-Fi|Thriller,future intelligent thought-provoking
1307,85,3.86,5.0,When Harry Met Sally... (1989),Comedy|Romance,New York
1393,85,3.59,5.0,Jerry Maguire (1996),Drama|Romance,sports
5218,85,3.69,5.0,Ice Age (2002),Adventure|Animation|Children|Comedy,
904,84,4.26,5.0,Rear Window (1954),Mystery|Thriller,voyeurism imdb top 250 James Stewart mystery photographer photography
410,84,3.1,5.0,Addams Family Values (1993),Children|Comedy|Fantasy,black comedy Christina Ricci Christopher Lloyd dark comedy family gothic
1220,84,3.81,5.0,"Blues Brothers, The (1980)",Action|Comedy|Musical,Saturday Night Live
95,84,3.02,5.0,Broken Arrow (1996),Action|Adventure|Thriller,
32587,84,3.86,5.0,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,cult
1101,83,3.3,5.0,Top Gun (1986),Action|Romance,predictable Navy
3897,83,3.87,5.0,Almost Famous (2000),Drama,music journalism music Rolling Stone
1219,83,4.04,5.0,Psycho (1960),Crime|Horror,Alfred Hitchcock psychology suspenseful tense Norman Bates Alfred Hitchcock black and white imdb top 250 remade
1584,82,3.65,5.0,Contact (1997),Drama|Sci-Fi,
16,82,3.93,5.0,Casino (1995),Crime|Drama,Mafia
48394,81,3.81,5.0,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller,atmospheric bittersweet visually appealing
54286,81,3.7,5.0,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller,assassin assassin-in-training (scene) espionage Robert Ludlum
317,81,3.2,5.0,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,Christmas
49272,81,3.94,5.0,Casino Royale (2006),Action|Adventure|Thriller,
300,81,3.52,5.0,Quiz Show (1994),Drama,TV
442,81,3.09,5.0,Demolition Man (1993),Action|Adventure|Sci-Fi,
2291,80,3.7,5.0,Edward Scissorhands (1990),Drama|Fantasy|Romance,freaks
1676,80,3.33,5.0,Starship Troopers (1997),Action|Sci-Fi,
62,80,3.71,5.0,Mr. Holland's Opus (1995),Drama,music
51662,80,3.68,5.0,300 (2007),Action|Fantasy|War|IMAX,
1247,79,4.06,5.0,"Graduate, The (1967)",Comedy|Drama|Romance,Simon and Garfunkel
3052,79,3.65,5.0,Dogma (1999),Adventure|Comedy|Fantasy,irreverent jay and silent bob Kevin Smith satire religion
8636,79,3.8,5.0,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX,Doc Ock
6934,79,3.15,5.0,"Matrix Revolutions, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,
33493,78,3.43,5.0,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi,space space opera
3751,78,3.55,5.0,Chicken Run (2000),Animation|Children|Comedy,
337,77,3.77,5.0,What's Eating Gilbert Grape (1993),Drama,mental illness
1573,77,3.37,5.0,Face/Off (1997),Action|Crime|Drama|Thriller,transplants
1625,77,3.7,5.0,"Game, The (1997)",Drama|Mystery|Thriller,mindfuck Mystery plot twist psychological suspense twist ending twist ending Mystery
594,77,3.62,5.0,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,Disney
46578,77,3.88,5.0,Little Miss Sunshine (2006),Adventure|Comedy|Drama,
8874,77,4.01,5.0,Shaun of the Dead (2004),Comedy|Horror,zombies
25,76,3.62,5.0,Leaving Las Vegas (1995),Drama|Romance,alcoholism
2700,76,3.86,5.0,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical,adult humor controversial crude humor free speech parody satire south park Trey Parker
69122,76,3.63,5.0,"Hangover, The (2009)",Comedy|Crime,casino comedy funny hotel Las Vegas
1225,76,4.18,5.0,Amadeus (1984),Drama,Mozart Salieri
6333,76,3.72,5.0,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller,Jean Grey Magneto Rogue superhero Wolverine
440,76,3.55,5.0,Dave (1993),Comedy|Romance,President
91529,76,3.99,5.0,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX,Anne Hathaway Christian Bale Christopher Nolan comic book great ending Morgan Freeman political commentary superhero
3481,75,3.67,5.0,High Fidelity (2000),Comedy|Drama|Romance,music Nick Hornby
3175,75,3.58,5.0,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,spoof
2692,75,4.0,5.0,Run Lola Run (Lola rennt) (1998),Action|Crime,alternate endings
6016,75,4.15,5.0,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller,multiple storylines true story crime photography violence not seen
8665,75,3.79,5.0,"Bourne Supremacy, The (2004)",Action|Crime|Thriller,
